date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:24	262/262	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20Dec%202022%2016:57:24%20GMT	https://www.medit.com/robots.txt		(from )
11:57:24	915632/915632	---MCZ	200	added ('OK')	text/html	etag:W/%22ee40863f8ea1ddc65b510e30bd042188%22	https://www.medit.com/	D:/WEBSITE/MEDIT/www.medit.com/index.html	(from )
11:57:25	956/956	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Dec%202022%2016:57:25%20GMT	https://static.wixstatic.com/media/a59fb8_593ff0378c4f4b57874a5b96cd3a2982~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/a59fb8_593ff0378c4f4b57874a5b96cd3a2982~mv2.png	D:/WEBSITE/MEDIT/static.wixstatic.com/media/a59fb8_593ff0378c4f4b57874a5b96cd3a2982_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/a59fb8_593ff0378c4f4b57874a5b96cd3a2982_mv2.png	(from https://www.medit.com/)
11:57:25	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/WEBSITE/MEDIT/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.medit.com/)
11:57:25	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/WEBSITE/MEDIT/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.medit.com/)
11:57:25	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2030%20Nov%202022%2017:02:06%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	D:/WEBSITE/MEDIT/polyfill.io/v3/polyfill.mind82c.js	(from https://www.medit.com/)
11:57:26	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	D:/WEBSITE/MEDIT/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.medit.com/)
11:57:27	776694/776694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202022%2016:57:27%20GMT	https://www.medit.com/decodeURIComponent(e	D:/WEBSITE/MEDIT/www.medit.com/decodeURIComponent(e.5.delayed	(from https://www.medit.com/)
11:57:28	241/241	---M--	200	added ('OK')	text/xml	date:Wed,%2028%20Dec%202022%2016:57:28%20GMT	https://www.medit.com/sitemap.xml	D:/WEBSITE/MEDIT/www.medit.com/sitemap.xml	(from https://www.medit.com/)
11:57:29	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202022%2016:57:29%20GMT	https://www.medit.com/feed.xml	D:/WEBSITE/MEDIT/www.medit.com/feed.7.delayed	(from https://www.medit.com/)
